,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
254,33.9,35,12,2.06,10.14,0.0,0.0,0.0,1.18,20.23,70.32
255,27.2,44,35,6.04,28.46,2.217,0.237,1.98,1.95,21.16,68.54
256,26.6,42,33,6.07,26.96,2.339,0.32,2.019,1.22,20.93,68.28
257,26.6,42,30,4.24,25.29,2.268,0.221,2.047,1.82,20.61,65.66
258,31.4,40,23,2.84,20.47,2.167,0.193,1.974,2.47,20.22,68.24
259,28.3,47,23,4.01,19.28,2.096,0.169,1.927,2.24,19.75,67.28
260,31.6,43,24,2.59,21.31,2.235,0.18,2.055,2.37,21.52,69.51
261,32.3,42,24,2.87,20.81,2.175,0.186,1.989,2.42,20.83,71.84
262,26.0,48,38,6.86,31.09,2.247,0.262,1.986,1.81,21.56,71.4
263,34.7,23,26,3.17,22.83,2.258,0.149,2.11,2.24,21.93,73.7
264,27.5,45,31,4.55,26.67,2.303,0.235,2.068,1.79,21.2,69.11
265,31.8,38,13,2.08,11.15,0.0,0.0,0.0,1.07,20.7,73.55
266,26.8,48,24,4.02,20.16,0.0,0.0,0.0,2.28,19.58,72.15
267,27.1,45,35,6.31,28.66,2.349,0.341,2.009,1.17,21.42,71.35
268,28.1,44,25,4.3,20.43,2.156,0.167,1.989,2.11,20.36,71.12
269,27.9,41,29,5.72,23.41,2.318,0.239,2.079,2.04,20.47,72.4
270,23.6,43,32,5.0,26.79,2.34,0.287,2.053,1.47,21.57,69.84
271,31.3,45,25,2.67,21.84,2.271,0.183,2.088,2.24,21.49,73.5
272,28.1,38,28,3.98,24.19,2.301,0.217,2.084,1.94,20.94,73.52
273,27.4,39,35,5.61,29.3,2.347,0.266,2.081,1.72,22.54,70.03
274,27.2,42,30,4.62,25.21,2.392,0.265,2.127,1.86,22.08,75.25
275,32.9,33,28,3.84,24.03,2.309,0.178,2.131,2.18,23.1,74.69
276,32.1,46,25,3.02,22.32,2.224,0.227,1.998,2.27,22.26,72.81
