NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10
10308,male,81,2,0,8,1,1,3,2,0,1,5,5,2,5,5,5,5,5,5,4,5,2,2,3,1,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10309,male,81,2,1,6,1,1,4,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10310,male,81,1,0,8,2,2,3,3,1,3,5,5,4,5,5,5,5,5,4,4,5,4,5,5,5,1,1,1,5,2,1,1,1,5,5,5,5,5,5,2,2,2,2,1,3,3,3
10311,male,82,2,0,6,1,2,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
10312,male,82,1,1,8,1,3,4,3,1,3,5,5,5,1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5
10313,female,82,1,0,3,2,2,5,2,1,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,3,4,5,4,5,5,5,5,4,5,5,5,4,5,5
10314,male,81,3,0,9,2,2,5,2,1,3,4,4,4,5,4,5,4,5,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,5,5,5,4,3,3,3,3,3,3,3,3,3
10315,male,81,2,0,6,3,1,3,2,1,3,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4,1,2,1,1,1,2,3,3,4,4,3,3,4,3,4,3,2,3
10316,female,81,3,0,10,2,2,3,1,1,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3
10317,male,81,3,0,5,2,1,3,2,0,2,5,5,4,5,5,5,4,4,4,4,4,3,4,5,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,5,4
10318,female,82,3,0,,2,99,2,1,1,4,4,4,4,3,3,3,4,4,4,4,4,5,5,5,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10319,male,81,1,0,6,3,1,2,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,3,5,4,4,4,3,3,4,5
